Wall time,Step,Value
1638598462.1272388,65559,5.070685863494873
1638598504.1953225,65685,5.120381832122803
1638598517.4732606,65723,4.967645645141602
1638598527.9503295,65754,4.93397331237793
1638598557.6249554,65842,4.8740105628967285
1638598563.105393,65859,4.992744445800781
1638598590.5579958,65934,5.054218769073486
1638598598.2354245,65957,4.884626388549805
1638598608.7246492,65988,5.016791820526123
1638598684.2113721,66211,5.023299694061279
1638598690.8179557,66231,4.874973773956299
1638598695.291425,66245,4.9128828048706055
1638598711.6350024,66293,4.991842746734619
1638598784.955822,66510,5.088393211364746
1638598833.621174,66653,4.760707378387451
1638598837.5613656,66665,4.959570407867432
1638598842.7719028,66681,3.4830174446105957
1638598863.9139073,66743,4.955831527709961
1638599032.7098804,67238,5.070497512817383
1638599047.3894067,67282,4.957915306091309
1638599125.4379635,67512,4.7057600021362305
1638599129.3793902,67524,4.893174648284912
1638599233.8656857,67835,5.019885063171387
1638599255.5326505,67899,4.7031779289245605
1638599288.3996124,67995,4.898029327392578
1638599314.0307195,68070,4.7090535163879395
1638599354.5057378,68189,5.004345417022705
1638599440.6572788,68439,5.046202659606934
1638599446.8616323,68457,4.910660266876221
1638599491.1858988,68588,3.217827081680298
1638599502.2075574,68620,5.011423587799072
1638599571.8059723,68827,4.92772912979126
1638599654.351512,69067,4.796873569488525
1638599711.359176,69235,4.87782621383667
1638599745.2697346,69337,4.90414571762085
1638599775.7804065,69428,4.967363357543945
1638599787.2902389,69461,5.0089921951293945
1638599810.3572807,69530,5.009232997894287
1638599847.6916938,69641,4.854947090148926
1638599859.732468,69676,3.391660213470459
1638599909.7261152,69823,5.007404804229736
1638600036.5081723,70196,5.086328029632568
1638600085.1723173,70340,3.2443320751190186
1638600092.1101675,70361,4.818378925323486
1638600168.4753747,70589,5.040336608886719
1638600170.1789186,70594,4.742659091949463
1638600184.8546112,70638,4.865419387817383
1638600189.109249,70651,4.887387752532959
1638600267.8568635,70876,5.05959939956665
1638600293.8517747,70952,4.940936088562012
1638600296.1154728,70959,4.808777809143066
1638600314.8720489,71014,4.872018814086914
1638600338.0288389,71082,5.043661594390869
1638600364.4390793,71160,4.789498805999756
1638600380.2517188,71207,3.3176109790802
1638600396.924594,71257,4.986889362335205
1638600430.5945797,71357,5.076916217803955
1638600546.6758142,71695,4.916712760925293
1638600593.903925,71834,4.927821636199951
1638600623.7945132,71924,4.8107781410217285
1638600749.2676547,72290,4.93427038192749
1638600838.2524388,72551,5.035681247711182
1638600849.9812095,72586,4.96956205368042
1638601033.0325394,73125,5.148622989654541
1638601060.3708317,73205,4.9506516456604
1638601073.036532,73243,4.795288562774658
1638601144.1490598,73454,5.121513843536377
1638601181.6776712,73566,5.083641052246094
1638601222.1302454,73687,4.672842979431152
1638601274.5798438,73839,4.9636054039001465
1638601300.6072419,73916,4.839626789093018
1638601302.9701233,73923,5.198367595672607
1638601309.9534075,73944,3.1954152584075928
1638601341.5989385,74037,4.946934700012207
1638601380.0172112,74151,4.927186012268066
1638601394.4096594,74193,4.952994346618652
1638601432.604823,74307,4.782176494598389
1638601492.2719228,74483,4.875297546386719
1638601530.068436,74595,4.8929290771484375
1638601586.4398723,74757,4.823826789855957
1638601670.6678317,75006,3.256887435913086
1638601706.3290198,75111,5.177855014801025
1638601718.7732527,75147,4.759332656860352
1638601731.2215579,75185,4.779863357543945
1638601738.5560994,75206,4.827581882476807
1638601794.6341414,75370,4.800152778625488
1638601818.9337804,75443,4.8744072914123535
1638601837.4474092,75498,2.9240269660949707
1638601860.4250836,75566,4.86558198928833
1638601876.1015203,75613,4.692724704742432
1638601901.259095,75686,5.051209449768066
1638602011.1265588,76006,5.063198566436768
1638602083.5765748,76220,4.938388347625732
1638602173.7159395,76488,5.098012447357178
1638602188.6096067,76532,4.921424388885498
1638602207.3057618,76588,5.00296688079834
1638602279.1267238,76794,4.785961627960205
1638602353.5932877,77013,4.843949317932129
1638602360.1530392,77033,4.82383394241333
1638602398.431882,77146,4.816221714019775
1638602537.5704772,77559,4.9350666999816895
1638602554.9337592,77610,4.9767231941223145
1638602621.5094833,77807,4.953494548797607
1638602670.5574195,77951,4.786285877227783
1638602717.4695299,78090,5.184812545776367
1638602735.4070182,78145,5.096590042114258
1638602750.8478687,78187,4.983880519866943
1638602765.21807,78230,5.049232482910156
1638602805.1277485,78350,4.829404830932617
1638602806.1535845,78353,4.863977909088135
1638602830.0478015,78424,4.840511798858643
1638602833.992374,78436,4.880134105682373
1638602861.5653532,78518,5.084466934204102
1638602886.278533,78591,4.890729904174805
1638602902.6293468,78639,4.9141340255737305
1638602938.8051267,78746,4.769825458526611
1638603046.7385802,79061,4.728062629699707
1638603075.7302344,79149,3.1659603118896484
1638603076.0747423,79150,4.959205627441406
1638603085.8653126,79179,5.169626235961914
1638603103.3749893,79231,4.939828395843506
1638603212.5962079,79555,3.425678014755249
1638603318.9727318,79866,4.859908580780029
1638603449.238977,80250,4.946172714233398
1638603524.1334567,80474,4.831825256347656
1638603530.8391607,80494,3.108572006225586
1638603811.1608303,81316,4.919435501098633
1638603829.0415187,81369,4.9559431076049805
1638603852.3965378,81438,4.9137349128723145
1638603912.2049296,81616,4.873208522796631
1638603947.7937253,81722,4.799375534057617
1638604204.8815951,82483,5.027530670166016
1638604230.1927876,82558,4.924746990203857
1638604295.8577108,82749,4.893270492553711
1638604430.9495714,83151,4.943151950836182
1638604437.2067063,83170,4.8271803855896
1638604439.477702,83177,4.9535698890686035
1638604489.0497787,83325,4.971812725067139
1638604651.5770502,83796,4.835285663604736
1638604688.7681093,83905,4.849177360534668
1638604703.2339637,83948,4.871706485748291
1638604716.988084,83990,4.774082183837891
1638604733.5168855,84040,5.002076148986816
1638604816.0075536,84282,4.930414199829102
1638604875.3794813,84461,4.974316596984863
1638604997.0748398,84823,4.988502025604248
1638605000.4190996,84833,4.862982749938965
1638605009.3112495,84859,5.107507228851318
1638605101.3738613,85128,5.065229892730713
1638605201.3812008,85421,5.100338459014893
1638605210.733383,85449,4.850377559661865
1638605265.2935247,85606,3.292051315307617
1638605325.2173262,85785,4.803310871124268
1638605473.4919057,86223,4.674237251281738
1638605534.1998582,86403,4.860058307647705
1638605540.632371,86422,5.036275386810303
1638605621.440465,86659,4.9971418380737305
1638605641.028234,86717,4.825210094451904
1638605691.4388933,86868,4.826961994171143
1638605700.590975,86895,4.692286014556885
1638605715.671193,86940,3.090726852416992
1638605844.941708,87322,4.900460243225098
1638605930.8818448,87576,4.717141151428223
1638605968.8212447,87689,3.1543805599212646
1638606003.5054302,87792,5.189731121063232
1638606004.5084195,87795,4.886043071746826
1638606044.9050848,87910,4.828125953674316
1638606109.0020401,88098,4.837231159210205
1638606150.898696,88225,4.801217555999756
1638606265.4472759,88558,4.943092346191406
1638606358.8275983,88833,4.794490337371826
1638606567.4533694,89447,4.92343807220459
1638606671.1810489,89754,3.3145086765289307
1638606769.5071733,90045,4.978533744812012
1638606801.90472,90142,5.019321441650391
1638606812.099775,90173,4.911319255828857
1638606817.801232,90190,4.873873233795166
1638606950.9046698,90578,4.9359002113342285
1638606953.244253,90585,3.2377686500549316
1638607027.308322,90807,4.713420391082764
1638607032.7735975,90823,4.925100803375244
1638607059.4734251,90901,4.582242012023926
1638607076.3673406,90951,4.640588760375977
1638607090.2310505,90994,5.046809673309326
1638607120.145908,91081,5.000524044036865
1638607234.1640754,91421,4.956526756286621
1638607341.5120041,91738,5.113614082336426
1638607378.9287612,91851,5.011997699737549
1638607426.7514665,91994,4.897441387176514
1638607493.6301515,92188,4.751262187957764
1638607516.3687525,92254,4.734773635864258
1638607516.7119927,92255,5.0378098487854
1638607518.331426,92260,4.917813301086426
1638607520.5308793,92267,4.921333312988281
1638607684.0282023,92752,5.1378865242004395
1638607692.583543,92777,4.716507911682129
1638607708.58621,92824,4.828187942504883
1638607814.0114102,93134,4.89030122756958
1638607888.110011,93356,4.845888137817383
1638608010.7083302,93716,4.62674617767334
